channel,r,z,width,height,turns_with_sign,material_index
4,0.0812,-0.4115,0.0028,0.005,1,2
4,0.0812,-0.4065,0.0028,0.005,1,2
4,0.0812,-0.4015,0.0028,0.005,1,2
4,0.0812,-0.3965,0.0028,0.005,1,2
4,0.0812,-0.3915,0.0028,0.005,1,2
4,0.0812,-0.3865,0.0028,0.005,1,2
4,0.0812,-0.3815,0.0028,0.005,1,2
4,0.0812,-0.3765,0.0028,0.005,1,2
4,0.0812,-0.3715,0.0028,0.005,1,2
4,0.0812,-0.3665,0.0028,0.005,1,2
4,0.0812,-0.3615,0.0028,0.005,1,2
4,0.0812,-0.3565,0.0028,0.005,1,2
4,0.0812,-0.3515,0.0028,0.005,1,2
4,0.0812,-0.3465,0.0028,0.005,1,2
4,0.0812,-0.3415,0.0028,0.005,1,2
4,0.0812,-0.3365,0.0028,0.005,1,2
4,0.0812,-0.3315,0.0028,0.005,1,2
4,0.0812,-0.3265,0.0028,0.005,1,2
4,0.0812,-0.3215,0.0028,0.005,1,2
4,0.0812,-0.3165,0.0028,0.005,1,2
4,0.0812,-0.3115,0.0028,0.005,1,2
4,0.0812,-0.3065,0.0028,0.005,1,2
4,0.0812,-0.3015,0.0028,0.005,1,2
4,0.0812,-0.2965,0.0028,0.005,1,2
4,0.0812,-0.2915,0.0028,0.005,1,2
4,0.0812,-0.2865,0.0028,0.005,1,2
4,0.0812,-0.2815,0.0028,0.005,1,2
4,0.0812,-0.2765,0.0028,0.005,1,2
4,0.0812,-0.2715,0.0028,0.005,1,2
4,0.0812,-0.2665,0.0028,0.005,1,2
4,0.0812,-0.2615,0.0028,0.005,1,2
4,0.0812,-0.2565,0.0028,0.005,1,2
4,0.0812,-0.2515,0.0028,0.005,1,2
4,0.0812,-0.2465,0.0028,0.005,1,2
4,0.0812,-0.2415,0.0028,0.005,1,2
4,0.0812,-0.2365,0.0028,0.005,1,2
4,0.0812,-0.2315,0.0028,0.005,1,2
4,0.0812,-0.2265,0.0028,0.005,1,2
4,0.0812,-0.2215,0.0028,0.005,1,2
4,0.0812,-0.2165,0.0028,0.005,1,2
4,0.0812,-0.2115,0.0028,0.005,1,2
4,0.0812,-0.2065,0.0028,0.005,1,2
4,0.0812,-0.2015,0.0028,0.005,1,2
4,0.0812,-0.1965,0.0028,0.005,1,2
4,0.0812,-0.1915,0.0028,0.005,1,2
4,0.0812,-0.1865,0.0028,0.005,1,2
4,0.0812,-0.1815,0.0028,0.005,1,2
4,0.0812,-0.1765,0.0028,0.005,1,2
4,0.0812,-0.1715,0.0028,0.005,1,2
4,0.0812,-0.1665,0.0028,0.005,1,2
4,0.0812,-0.1615,0.0028,0.005,1,2
4,0.0812,-0.1565,0.0028,0.005,1,2
4,0.0812,-0.1515,0.0028,0.005,1,2
4,0.0812,-0.1465,0.0028,0.005,1,2
4,0.0812,-0.1415,0.0028,0.005,1,2
4,0.0812,-0.1365,0.0028,0.005,1,2
4,0.0812,-0.1315,0.0028,0.005,1,2
4,0.0812,-0.1265,0.0028,0.005,1,2
4,0.0812,-0.1215,0.0028,0.005,1,2
4,0.0812,-0.1165,0.0028,0.005,1,2
4,0.0812,-0.1115,0.0028,0.005,1,2
4,0.0812,-0.1065,0.0028,0.005,1,2
4,0.0812,-0.1015,0.0028,0.005,1,2
4,0.0812,-0.0965,0.0028,0.005,1,2
4,0.0812,-0.0915,0.0028,0.005,1,2
4,0.0812,-0.0865,0.0028,0.005,1,2
4,0.0812,-0.0815,0.0028,0.005,1,2
4,0.0812,-0.0765,0.0028,0.005,1,2
4,0.0812,-0.0715,0.0028,0.005,1,2
4,0.0812,-0.0665,0.0028,0.005,1,2
4,0.0812,-0.0615,0.0028,0.005,1,2
4,0.0812,-0.0565,0.0028,0.005,1,2
4,0.0812,-0.0515,0.0028,0.005,1,2
4,0.0812,-0.0465,0.0028,0.005,1,2
4,0.0812,-0.0415,0.0028,0.005,1,2
4,0.0812,-0.0365,0.0028,0.005,1,2
4,0.0812,-0.0315,0.0028,0.005,1,2
4,0.0812,-0.0265,0.0028,0.005,1,2
4,0.0812,-0.0215,0.0028,0.005,1,2
4,0.0812,-0.0165,0.0028,0.005,1,2
4,0.0812,-0.0115,0.0028,0.005,1,2
4,0.0812,-0.0065,0.0028,0.005,1,2
4,0.0812,-0.0015,0.0028,0.005,1,2
4,0.0812,0.0035,0.0028,0.005,1,2
4,0.0812,0.0085,0.0028,0.005,1,2
4,0.0812,0.0135,0.0028,0.005,1,2
4,0.0812,0.0185,0.0028,0.005,1,2
4,0.0812,0.0235,0.0028,0.005,1,2
4,0.0812,0.0285,0.0028,0.005,1,2
4,0.0812,0.0335,0.0028,0.005,1,2
4,0.0812,0.0385,0.0028,0.005,1,2
4,0.0812,0.0435,0.0028,0.005,1,2
4,0.0812,0.0485,0.0028,0.005,1,2
4,0.0812,0.0535,0.0028,0.005,1,2
4,0.0812,0.0585,0.0028,0.005,1,2
4,0.0812,0.0635,0.0028,0.005,1,2
4,0.0812,0.0685,0.0028,0.005,1,2
4,0.0812,0.0735,0.0028,0.005,1,2
4,0.0812,0.0785,0.0028,0.005,1,2
4,0.0812,0.0835,0.0028,0.005,1,2
4,0.0812,0.0885,0.0028,0.005,1,2
4,0.0812,0.0935,0.0028,0.005,1,2
