shot,mid TP position[m],upper TP position[m]
44281,0.27,
44282,0.27,
44283,0.27,
44284,0.27,
44446,0.76,
44447,0.76,
44448,0.76,
44449,0.76,
44450,0.76,
44451,0.76,
44452,0.76,
44453,0.76,
44454,0.76,
44455,0.76,
44456,0.76,
44457,0.76,
44458,0.76,
44459,0.76,
44460,0.76,
44461,0.76,
44462,0.76,
44463,0.76,
45049,0.57,
45050,0.54,
45051,0.51,
45052,0.48,
45053,0.45,
45054,0.42,
45055,0.39,
45056,0.39,
45057,0.39,
45058,0.39,
45059,0.39,
45060,0.36,
45061,0.33,
45062,0.3,
45063,0.27,
45064,0.27,
45065,0.3,
45066,0.3,
45067,0.3,
45068,0.24,
45069,0.22,
45070,0.22,
45071,0.6,
45072,0.6,
45073,0.6,
45074,0.6,
45075,0.6,
45076,0.6,
45242,0.8,0.45
45243,0.8,0.4
46171,0.7,
46172,0.7,
46173,0.7,
46174,0.7,
46175,0.7,
46176,0.7,
46177,0.7,
46178,0.7,
46179,0.7,
46303,0.75,0.55
46304,0.70,0.50
46305,0.65,0.45
46306,0.60,0.45
46307,0.55,0.40
46308,0.50,0.35
46309,0.45,0.30
46310,0.40,0.25
46311,0.35,0.25
46312,0.30,0.25
46313,0.30,0.25
